title,categoryName,city,totalScore,reviewsCount
Rumah Batik Jawa Timur Suramadu,Toko Pakaian,Surabaya,4.6,245.0
Monumen Jalesveva Jayamahe,Monumen,Surabaya,4.6,1397.0
Taman Mundu ꦠꦩꦤ꧀ꦩꦸꦤ꧀ꦢꦸ,Taman Kota,Surabaya,4.5,7074.0
Patung Suro dan Boyo,Patung,Surabaya,4.7,7544.0
Monumen Bambu Runcing,Monumen,Surabaya,4.7,6135.0
Taman Harmoni,Taman Kota,Surabaya,4.5,5012.0
Ekowisata Mangrove Wonorejo,Tujuan Wisata,Surabaya,4.3,8042.0
Taman Kunang-Kunang,Taman,Surabaya,4.4,2007.0
Taman Air Mancur Pelangi,Tujuan Wisata,Surabaya,4.4,5384.0
Taman Ekspresi Dan Perpustakaan,Taman,Surabaya,4.5,367.0
Hutan Bambu Keputih Surabaya,Tujuan Wisata,Surabaya,4.3,5997.0
Kebun Bibit Wonorejo,Taman Kota,Surabaya,4.5,7516.0
Food Junction Grand Pakuwon,Pujasera,Surabaya,4.6,24232.0
Taman Prestasi Surabaya,Taman Kota,Surabaya,4.6,9362.0
Museum Mpu Tantular,Museum,Kabupaten Sidoarjo,4.5,3938.0
Taman Bungkul,Taman Kota,Surabaya,4.6,58316.0
Taman Flora,Taman Ekologi,Surabaya,4.7,10757.0
Monumen Tugu Pahlawan dan Museum Sepuluh Nopember Surabaya,Museum,Surabaya,4.7,27200.0
Patung Brahma 4 Rupa,Patung,Surabaya,4.4,689.0
Museum TNI AL Loka Jala Crana,Museum,Surabaya,4.5,620.0
Masjid Muhammad Cheng Hoo Surabaya,Masjid,Surabaya,4.7,7663.0
Masjid Nasional Al-Akbar Surabaya,Masjid,Surabaya,4.9,8357.0
Kenjeran Park,Taman Ekologi,Surabaya,4.2,6243.0
Gereja Katolik Kelahiran Santa Perawan Maria,Gereja Katolik,Surabaya,4.8,1407.0
Kelenteng Sanggar Agung Kenjeran,Kuil Penganut Agama Tao,Surabaya,4.6,2834.0
Atlantis Land,Pusat Rekreasi,Surabaya,4.3,2856.0
Monumen Kapal Selam Surabaya,Museum,Surabaya,4.5,16770.0
Kebun Binatang Surabaya / Surabaya Zoo,Kebun Binatang,Surabaya,4.4,56121.0
Pantai Ria,Tujuan Wisata,Surabaya,4.2,4124.0
Museum De Javasche Bank,Museum,Surabaya,4.7,1818.0
Balai Kota Surabaya,Balai Kota,Surabaya,4.8,1710.0
Taman Pelangi,Taman Kota,Surabaya,4.5,7271.0
Taman Barunawati,Taman Kota,Surabaya,4.3,563.0
Surabaya Museum (Gedung Siola),Museum,Surabaya,4.6,8236.0
Alun-Alun Tigaraksa,Taman,Kabupaten Tangerang,4.4,3886.0
Taman Aspirasi Pemda Tigaraksa,Taman,Kabupaten Tangerang,4.4,580.0
Taman Potret,Taman,Kota Tangerang,4.5,7980.0
Taman Elektrik,Taman,Kota Tangerang,4.7,1639.0
Taman CD PKN STAN,Taman,Kota Tangerang Selatan,4.5,1111.0
Taman Balaikota Melayu Tangerang,Taman,Kota Tangerang,4.5,3697.0
Taman Pramuka,Taman,Kota Tangerang,4.5,558.0
Taman Dayung,Taman,Kota Tangerang,4.5,1063.0
Taman Ekspresi,Taman,Kota Tangerang,4.5,1327.0
Taman Sari Lippo Karawaci,Taman,Kabupaten Tangerang,4.3,831.0
Imperial Klub Golf,Klub Golf,Kabupaten Tangerang,4.5,2206.0
Pondok Makan Sate Asmawi,Restoran Sate,Kota Cilegon,4.3,2920.0
Rumah Makan Ibu Haji Ciganea,Restoran Sunda,Kota Serang,4.4,1760.0
Bakso Wisnu,Restoran Bakso,Kota Serang,4.4,739.0
Rabeg Khas Serang H. Naswi (Magersari),Restoran Sate,Kota Serang,4.4,1053.0
"Mie Ayam Bakso ""Maju"" Mas Bakar",Restoran Bakso,Kota Serang,4.5,1202.0
Dapoer Meneer,Restoran Hamburger,Kota Serang,4.4,1698.0
SUSHI WA Serang,Restoran,Kota Serang,4.9,1323.0
Museum Situs Kepurbakalaan Banten Lama,Museum,Kota Serang,4.4,1233.0
Bendung Pamarayan,Bendungan,Kabupaten Serang,4.3,2187.0
Duren Story Warjok,Restoran,Kota Serang,4.7,8311.0
Gunung Pinang,Tujuan Wisata,Kabupaten Serang,4.1,1323.0
Wisata Air Kencana Tirta Eleven,Taman Rekreasi Air,Kabupaten Tangerang,4.2,1561.0
