title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,url,categoryName,categories/5,categories/6,categories/7,categories/8,categories/9,imageUrl
Rumah Batik Jawa Timur Suramadu,4.6,245.0,Jl. Dukuh Bulak Banteng Tim. No.94,Surabaya,Jawa Timur,ID,,+62 877-7471-2376,Toko Pakaian,Kursus,Toko Kerajinan Tangan,Eksportir garmen,Kerajinan,https://www.google.com/maps/search/?api=1&query=Rumah%20Batik%20Jawa%20Timur%20Suramadu&query_place_id=ChIJQzc022_51y0RwuwmLN0zmW0,Toko Pakaian,,,,,,
Monumen Jalesveva Jayamahe,4.6,1397.0,Armada Timur Ujung,Surabaya,Jawa Timur,ID,,+62 31 3201519,Monumen,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Monumen%20Jalesveva%20Jayamahe&query_place_id=ChIJTfvU0mP51y0RmFmIlaDpZTI,Monumen,,,,,,
Taman Mundu ꦠꦩꦤ꧀ꦩꦸꦤ꧀ꦢꦸ,4.5,7074.0,"PQX3+9R5, Jl. Juwet",Surabaya,Jawa Timur,ID,,,Taman Kota,Taman,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Taman%20Mundu%20%EA%A6%A0%EA%A6%A9%EA%A6%A4%EA%A7%80%EA%A6%A9%EA%A6%B8%EA%A6%A4%EA%A7%80%EA%A6%A2%EA%A6%B8&query_place_id=ChIJtwY-e3H51y0RLnbI8MfjfFk,Taman Kota,,,,,,
Patung Suro dan Boyo,4.7,7544.0,Jl. Diponegoro No.1-B,Surabaya,Jawa Timur,ID,,,Patung,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Patung%20Suro%20dan%20Boyo&query_place_id=ChIJMUjh3Zf71y0R-1n5AxwJaJ4,Patung,,,,,,
Monumen Bambu Runcing,4.7,6135.0,"PPJV+VQJ, Jl. Panglima Sudirman",Surabaya,Jawa Timur,ID,,,Monumen,Bangunan Bersejarah,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Monumen%20Bambu%20Runcing&query_place_id=ChIJOUinst371y0RIR1g_fUfdog,Monumen,,,,,,
Taman Harmoni,4.5,5012.0,Jl. Keputih Tegal Tim. II No.249,Surabaya,Jawa Timur,ID,http://surabaya.go.id/,,Taman Kota,Taman,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Taman%20Harmoni&query_place_id=ChIJvb9-F3r61y0RVR3qOPYmyJQ,Taman Kota,,,,,,
Ekowisata Mangrove Wonorejo,4.3,8042.0,Jl. Wonorejo Timur No.1,Surabaya,Jawa Timur,ID,,,Tujuan Wisata,Taman,,,,https://www.google.com/maps/search/?api=1&query=Ekowisata%20Mangrove%20Wonorejo&query_place_id=ChIJvQmQ1mTw1y0REK5dCN2ff7Q,Tujuan Wisata,,,,,,
Taman Kunang-Kunang,4.4,2007.0,Jl. Penjaringan Tim. No.22A,Surabaya,Jawa Timur,ID,,,Taman,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Kunang-Kunang&query_place_id=ChIJIaU39Oz61y0RznJv5b0VBcI,Taman,,,,,,
Taman Air Mancur Pelangi,4.4,5384.0,QQ7W+P6C,Surabaya,Jawa Timur,ID,,,Tujuan Wisata,Taman,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Air%20Mancur%20Pelangi&query_place_id=ChIJ06Zz-8T51y0RKergXlSdhD8,Tujuan Wisata,,,,,,
Taman Ekspresi Dan Perpustakaan,4.5,367.0,Jl. Genteng Kali No.67,Surabaya,Jawa Timur,ID,,,Taman,Perpustakaan,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Ekspresi%20Dan%20Perpustakaan&query_place_id=ChIJ21EgGWb51y0RDx8s9UgdQnM,Taman,,,,,,
